title,year,venue,ee
Static Application Security Testing (SAST) Tools for Smart Contracts: How Far Are We?,2024,CoRR,https://doi.org/10.48550/arXiv.2404.18186
Vulnerability Detection in Smart Contracts: A Comprehensive Survey.,2024,CoRR,https://doi.org/10.48550/arXiv.2407.07922
"A Mapping Review on Cyber-Physical Smart Contracts: Architectures, Platforms, and Challenges.",2023,IEEE Access,https://doi.org/10.1109/ACCESS.2023.3290899
"A review on blockchain smart contracts in the agri-food industry: Current state, application challenges and future trends.",2023,Comput. Electron. Agric.,https://doi.org/10.1016/j.compag.2023.107776
"A review of smart contract-based platforms, applications, and challenges.",2023,Clust. Comput.,https://doi.org/10.1007/s10586-021-03491-1
Security Threat Mitigation for Smart Contracts: A Comprehensive Survey.,2023,ACM Comput. Surv.,https://doi.org/10.1145/3593293
Evaluation of Smart Contract Vulnerability Analysis Tools: A Domain-Specific Perspective.,2023,Inf.,https://doi.org/10.3390/info14100533
Smart Contracts in Blockchain Technology: A Critical Review.,2023,Inf.,https://doi.org/10.3390/info14020117
"A survey on smart contract vulnerabilities: Data sources, detection and repair.",2023,Inf. Softw. Technol.,https://doi.org/10.1016/j.infsof.2023.107221
An empirical study on real bug fixes from solidity smart contract projects.,2023,J. Syst. Softw.,https://doi.org/10.1016/j.jss.2023.111787
Scaling Smart Contracts via Layer-2 Technologies: Some Empirical Evidence.,2023,Manag. Sci.,https://doi.org/10.1287/mnsc.2023.00281
Making drug supply chain secure traceable and efficient: a Blockchain and smart contract based implementation.,2023,Multim. Tools Appl.,https://doi.org/10.1007/s11042-022-14238-4
A novel method using LSTM-RNN to generate smart contracts code templates for improved usability.,2023,Multim. Tools Appl.,https://doi.org/10.1007/s11042-023-14592-x
TP-Detect: trigram-pixel based vulnerability detection for Ethereum smart contracts.,2023,Multim. Tools Appl.,https://doi.org/10.1007/s11042-023-15042-4
Detecting functional and security-related issues in smart contracts: A systematic literature review.,2023,Softw. Pract. Exp.,https://doi.org/10.1002/spe.3156
A large-scale empirical study of low-level function use in Ethereum smart contracts and automated replacement.,2023,Softw. Pract. Exp.,https://doi.org/10.1002/spe.3163
A survey on automation approaches of smart contract generation.,2023,J. Supercomput.,https://doi.org/10.1007/s11227-023-05262-8
Large-Scale Empirical Study of Inline Assembly on 7.6 Million Ethereum Smart Contracts.,2023,IEEE Trans. Software Eng.,https://doi.org/10.1109/TSE.2022.3163614
Comparing smart contract vulnerability detection tools.,2023,BENEVOL,https://ceur-ws.org/Vol-3567/paper2.pdf
An Analysis of Important Factors Affecting the Success of Blockchain Smart Contract Security Vulnerability Scanning Tools.,2023,BSCI,https://doi.org/10.1145/3594556.3594615
Evaluation of Contemporary Smart Contract Analysis Tools.,2023,ENASE,https://doi.org/10.5220/0011769600003464
A Smart Contract-based Decentralized Marketplace System to Promote Reviewer Anonymity.,2023,ICBC,https://doi.org/10.1109/ICBC56567.2023.10175001
Security Risks and Best Practices for Blockchain and Smart Contracts: A Systematic Literature Review.,2023,ICIMTech,https://doi.org/10.1109/ICIMTech59029.2023.10278055
Can Neural Networks Help Smart Contract Testing? An Empirical Study.,2023,Internetware,https://doi.org/10.1145/3609437.3609455
On the Efficacy of Smart Contract Analysis Tools.,2023,ISSREW,https://doi.org/10.1109/ISSREW60843.2023.00041
Beyond &quot;Protected&quot; and &quot;Private&quot;: An Empirical Security Analysis of Custom Function Modifiers in Smart Contracts.,2023,ISSTA,https://doi.org/10.1145/3597926.3598125
A Survey on Automatic Discover Approach by Using Static Analysis for Smart Contract Vulnerability.,2023,NaNA,https://doi.org/10.1109/NaNA60121.2023.00035
White-Box Mutation Testing of Smart Contracts: A Quick Review.,2023,VECoS,https://doi.org/10.1007/978-3-031-49737-7_10
An Empirical Study of Smart Contract Decompilers.,2023,SANER,https://doi.org/10.1109/SANER56733.2023.00011
Pre-deployment Analysis of Smart Contracts - A Survey.,2023,CoRR,https://doi.org/10.48550/arXiv.2301.06079
Security Threat Mitigation For Smart Contracts: A Survey.,2023,CoRR,https://doi.org/10.48550/arXiv.2302.07347
A review of Smart Contract Blockchain Based on Multi-Criteria Analysis: Challenges and Motivations.,2023,CoRR,https://doi.org/10.48550/arXiv.2302.08496
Smart Contract and DeFi Security: Insights from Tool Evaluations and Practitioner Surveys.,2023,CoRR,https://doi.org/10.48550/arXiv.2304.02981
A Comprehensive Survey of Upgradeable Smart Contract Patterns.,2023,CoRR,https://doi.org/10.48550/arXiv.2304.03405
An Empirical Study of Impact of Solidity Compiler Updates on Vulnerabilities in Ethereum Smart Contracts.,2023,CoRR,https://doi.org/10.48550/arXiv.2306.04250
An Empirical Study of AI-based Smart Contract Creation.,2023,CoRR,https://doi.org/10.48550/arXiv.2308.02955
Dissecting Smart Contract Languages: A Survey.,2023,CoRR,https://doi.org/10.48550/arXiv.2310.02799
Securing Refugee Identity: A Literature Review on Blockchain-based Smart Contract.,2023,CoRR,https://doi.org/10.48550/arXiv.2310.19018
A Comparative Evaluation of Automated Analysis Tools for Solidity Smart Contracts.,2023,CoRR,https://doi.org/10.48550/arXiv.2310.20212
Survey on Quality Assurance of Smart Contracts.,2023,CoRR,https://doi.org/10.48550/arXiv.2311.00270
Systematic Review of Security Vulnerabilities in Ethereum Blockchain Smart Contract.,2022,IEEE Access,https://doi.org/10.1109/ACCESS.2021.3140091
A Review on Recent Progress of Smart Contract in Blockchain.,2022,IEEE Access,https://doi.org/10.1109/ACCESS.2022.3174052
Review of Smart Contracts for Cloud-Based Manufacturing.,2022,Comput. Informatics,https://doi.org/10.31577/cai_2022_1_34
Security analysis of smart contract based rating and review systems: the perilous state of blockchain-based recommendation practices.,2022,Connect. Sci.,https://doi.org/10.1080/09540091.2022.2066065
Legally Enforceable Smart-Contract Languages: A Systematic Literature Review.,2022,ACM Comput. Surv.,https://doi.org/10.1145/3453475
A Survey of Smart Contract Formal Specification and Verification.,2022,ACM Comput. Surv.,https://doi.org/10.1145/3464421
Review of Automated Vulnerability Analysis of Smart Contracts on Ethereum.,2022,Frontiers Blockchain,https://doi.org/10.3389/fbloc.2022.814977
Towards user-centered and legally relevant smart-contract development: A systematic literature review.,2022,J. Ind. Inf. Integr.,https://doi.org/10.1016/j.jii.2021.100314
Fair rewarding mechanism in music industry using smart contracts on public-permissionless blockchain.,2022,Multim. Tools Appl.,https://doi.org/10.1007/s11042-021-11078-6
Retraction Note: A remix IDE: smart contract-based framework for the healthcare sector by using Blockchain technology.,2022,Multim. Tools Appl.,https://doi.org/10.1007/s11042-022-13853-5
ISC-MTI: An IPFS and smart contract-based framework for machine learning model training and invocation.,2022,Multim. Tools Appl.,https://doi.org/10.1007/s11042-022-13163-w
A survey on security in consensus and smart contracts.,2022,Peer-to-Peer Netw. Appl.,https://doi.org/10.1007/s12083-021-01268-2
A survey of application research based on blockchain smart contract.,2022,Wirel. Networks,https://doi.org/10.1007/s11276-021-02874-x
Security Vulnerabilities and Countermeasures of Smart Contracts: A Survey.,2022,Blockchain,https://doi.org/10.1109/Blockchain55522.2022.00080
An Empirical Study on the Effects of Entry Function Pairs in Fuzzing Smart Contracts.,2022,COMPSAC,https://doi.org/10.1109/COMPSAC54236.2022.00273
A User-Centric Evaluation of Smart Contract Analysis Tools in Decentralised Finance (DeFi).,2022,Cyber Science,https://doi.org/10.1007/978-981-19-6414-5_25
An Empirical Study on Implicit Constraints in Smart Contract Static Analysis.,2022,ICSE,https://doi.org/10.1109/ICSE-SEIP55303.2022.9793963
"Smart Contracts on the Management of EHR: Review, Challenges, and Future Directions.",2022,ICSRS,https://doi.org/10.1109/ICSRS56243.2022.10067426
An empirical investigation on the trade-off between smart contract readability and gas consumption.,2022,ICPC,https://doi.org/10.1145/3524610.3529157
Detecting Vulnerabilities in Smart Contract within Blockchain: A Review and Comparative Analysis of Key Approaches.,2022,NextComp,https://doi.org/10.1109/NextComp55567.2022.9932169
Technical Usability Assessment of Security Analysis Tools for Ethereum Based Smart Contracts.,2022,QRS Companion,https://doi.org/10.1109/QRS-C57518.2022.00021
Security Evaluation of Smart Contracts based on Code and Transaction - A Survey.,2022,ICSS,https://doi.org/10.1109/ICSS55994.2022.00016
Formal Methods for the Verification of Smart Contracts: A Review.,2022,SIN,https://doi.org/10.1109/SIN56466.2022.9970534
A Fly in the Ointment: An Empirical Study on the Characteristics of Ethereum Smart Contracts Code Weaknesses and Vulnerabilities.,2022,CoRR,https://doi.org/10.48550/arXiv.2203.14850
Smart Contract Vulnerability Detection Technique: A Survey.,2022,CoRR,https://doi.org/10.48550/arXiv.2209.05872
An Empirical Study on Real Bug Fixes in Smart Contracts Projects.,2022,CoRR,https://doi.org/10.48550/arXiv.2210.11990
A Systematic Literature Review on Smart Contracts Security.,2022,CoRR,https://doi.org/10.48550/arXiv.2212.05099
A remix IDE: smart contract-based framework for the healthcare sector by using Blockchain technology.,2022,Multim. Tools Appl.,https://doi.org/10.1007/s11042-020-10087-1
Survey on Blockchain-Based Smart Contracts: Technical Aspects and Future Research.,2021,IEEE Access,https://doi.org/10.1109/ACCESS.2021.3068178
Towards Interoperable Blockchains: A Survey on the Role of Smart Contracts in Blockchain Interoperability.,2021,IEEE Access,https://doi.org/10.1109/ACCESS.2021.3106384
Applicability of Blockchain smart contracts in securing Internet and IoT: A systematic literature review.,2021,Comput. Sci. Rev.,https://doi.org/10.1016/j.cosrev.2020.100360
Security enhancement technologies for smart contracts in the blockchain: A survey.,2021,Trans. Emerg. Telecommun. Technol.,https://doi.org/10.1002/ett.4341
Ethereum smart contract security research: survey and future research opportunities.,2021,Frontiers Comput. Sci.,https://doi.org/10.1007/s11704-020-9284-9
A survey on user privacy preserving blockchain for health insurance using Ethereum smart contract.,2021,Int. J. Inf. Priv. Secur. Integr.,https://doi.org/10.1504/IJIPSI.2021.120354
Survey of Smart Contract Framework and Its Application.,2021,Inf.,https://doi.org/10.3390/info12070257
Security Challenges and Opportunities for Smart Contracts in Internet of Things: A Survey.,2021,IEEE Internet Things J.,https://doi.org/10.1109/JIOT.2021.3074544
"Survey on blockchain based smart contracts: Applications, opportunities and challenges.",2021,J. Netw. Comput. Appl.,https://doi.org/10.1016/j.jnca.2020.102857
"Blockchain and smart contract for access control in healthcare: A survey, issues and challenges, and open issues.",2021,J. Netw. Comput. Appl.,https://doi.org/10.1016/j.jnca.2020.102950
Smart contracts on the blockchain - A bibliometric analysis and review.,2021,Telematics Informatics,https://doi.org/10.1016/j.tele.2020.101519
A Survey on Formal Verification for Solidity Smart Contracts.,2021,ACSW,https://doi.org/10.1145/3437378.3437879
Ethereum&apos;s Smart Contracts Construction and Development using Model Driven Engineering Technologies: a Review.,2021,ANT/EDI40,https://doi.org/10.1016/j.procs.2021.03.097
"A Survey of Verification, Validation and Testing Solutions for Smart Contracts.",2021,BCCA,https://doi.org/10.1109/BCCA53669.2021.9657040
An Empirical Evaluation of Smart Contract-Based Data Quality Assessment in Ethereum.,2021,BPM,https://doi.org/10.1007/978-3-030-85867-4_5
Empirical Analysis of On-chain Voting with Smart Contracts.,2021,Financial Cryptography Workshops,https://doi.org/10.1007/978-3-662-63958-0_32
Evaluating the Parallel Execution Schemes of Smart Contract Transactions in Different Blockchains: An Empirical Study.,2021,ICA3PP,https://doi.org/10.1007/978-3-030-95391-1_3
Blockchain and Smart Contracts as New Governance Tools for the Sharing Economy.,2021,ICSA Companion,https://doi.org/10.1109/ICSA-C52384.2021.00030
A Survey on SLA Management Using Blockchain Based Smart Contracts.,2021,ISDA,https://doi.org/10.1007/978-3-030-96308-8_132
Empirical evaluation of smart contract testing: what is the best choice?,2021,ISSTA,https://doi.org/10.1145/3460319.3464837
Static Analysis Tools Applied to Smart Contracts.,2021,LADC,https://doi.org/10.5753/ladc.2021.18529
Smart Contract Enabled Decentralized Reputation System for E-Commerce Reviews.,2021,NEW2AN/ruSMART,https://doi.org/10.1007/978-3-030-97777-1_3
A Survey of Security Vulnerabilities in Ethereum Smart Contracts.,2021,CoRR,https://arxiv.org/abs/2105.06974
An Empirical Study of Protocols in Smart Contracts.,2021,CoRR,https://arxiv.org/abs/2110.08983
"A Survey of Verification, Validation and Testing Solutions for Smart Contracts.",2021,CoRR,https://arxiv.org/abs/2112.03426
"Smart Contract Privacy Protection Using AI in Cyber-Physical Systems: Tools, Techniques and Challenges.",2020,IEEE Access,https://doi.org/10.1109/ACCESS.2020.2970576
Model-Based Software Design and Testing in Blockchain Smart Contracts: A Systematic Literature Review.,2020,IEEE Access,https://doi.org/10.1109/ACCESS.2020.3021502
Smart contracts for blockchain-based reputation systems: A systematic literature review.,2020,J. Netw. Comput. Appl.,https://doi.org/10.1016/j.jnca.2020.102814
Verification of smart contracts: A survey.,2020,Pervasive Mob. Comput.,https://doi.org/10.1016/j.pmcj.2020.101227
An empirical analysis of source code metrics and smart contract resource consumption.,2020,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.2267
A survey of security vulnerabilities in ethereum smart contracts.,2020,CASCON,https://dl.acm.org/doi/10.5555/3432601.3432611
On the Verification of Smart Contracts: A Systematic Review.,2020,ICBC,https://doi.org/10.1007/978-3-030-59638-5_7
"A Systematic Literature Review of Blockchain-Enabled Smart Contracts: Platforms, Languages, Consensus, Applications and Choice Criteria.",2020,RCIS,https://doi.org/10.1007/978-3-030-50316-1_15
Testing Ethereum Smart Contracts: A Comparison of Symbolic Analysis and Fuzz Testing Tools.,2020,SAICSIT,https://doi.org/10.1145/3410886.3410907
"An Empirical Study of Ownership, Typestate, and Assets in the Obsidian Smart Contract Language.",2020,CoRR,https://arxiv.org/abs/2003.12209
A Survey of Smart Contract Formal Specification and Verification.,2020,CoRR,https://arxiv.org/abs/2008.02712
A Survey on Vulnerabilities of Ethereum Smart Contracts.,2020,CoRR,https://arxiv.org/abs/2012.14481
An Empirical Study Into the Success of Listed Smart Contracts in Ethereum.,2019,IEEE Access,https://doi.org/10.1109/ACCESS.2019.2957284
A Survey on Security Verification of Blockchain Smart Contracts.,2019,IEEE Access,https://doi.org/10.1109/ACCESS.2019.2921624
A Massive Analysis of Ethereum Smart Contracts Empirical Study and Code Metrics.,2019,IEEE Access,https://doi.org/10.1109/ACCESS.2019.2921936
"Security, Performance, and Applications of Smart Contracts: A Systematic Survey.",2019,IEEE Access,https://doi.org/10.1109/ACCESS.2019.2911031
区块链系统中智能合约技术综述 (Survey on Smart Contract Based on Blockchain System).,2019,计算机科学,https://doi.org/10.11896/jsjkx.190300013
Enabling Auditing of Smart Contracts Through Process Mining.,2019,"From Software Engineering to Formal Methods and Tools, and Back",https://doi.org/10.1007/978-3-030-30985-5_27
On the Prediction of Smart Contracts&apos; Behaviours.,2019,"From Software Engineering to Formal Methods and Tools, and Back",https://doi.org/10.1007/978-3-030-30985-5_23
A Large-Scale Empirical Study on Control Flow Identification of Smart Contracts.,2019,ESEM,https://doi.org/10.1109/ESEM.2019.8870156
Formal-Verification of Smart-Contract Languages: A Survey.,2019,ICACDS,https://doi.org/10.1007/978-981-13-9942-8_68
Evaluation of Tools for Analyzing Smart Contracts in Distributed Ledger Technologies.,2019,ICCSA,https://doi.org/10.1007/978-3-030-24296-1_41
Identify Multiple Types of Social Influences on Smart Contract Adoption in Blockchain User Network: An Empirical Examination of CryptoKitties in Ethereum.,2019,ICIS,https://aisel.aisnet.org/icis2019/blockchain_fintech/blockchain_fintech/16
Survey of Formal Verification Methods for Smart Contracts on Blockchain.,2019,NTMS,https://doi.org/10.1109/NTMS.2019.8763832
An Empirical Study of Speculative Concurrency in Ethereum Smart Contracts.,2019,Tokenomics,https://doi.org/10.4230/OASIcs.Tokenomics.2019.4
An Empirical Study of Speculative Concurrency in Ethereum Smart Contracts.,2019,CoRR,http://arxiv.org/abs/1901.01376
Literature Review: Smart Contract Semantics.,2019,CoRR,http://arxiv.org/abs/1901.01815
A survey on efficient parallelization of blockchain-based smart contracts.,2019,CoRR,http://arxiv.org/abs/1904.00731
Security Analysis Methods on Ethereum Smart Contract Vulnerabilities: A Survey.,2019,CoRR,http://arxiv.org/abs/1908.08605
An Empirical Study into the Success of Listed Smart Contracts in Ethereum.,2019,CoRR,http://arxiv.org/abs/1908.11597
Smart Contract-Based Review System for an IoT Data Marketplace.,2018,Sensors,https://doi.org/10.3390/s18103577
Empirical vulnerability analysis of automated smart contracts security testing on blockchains.,2018,CASCON,https://dl.acm.org/citation.cfm?id=3291303
Foundations and Tools for the Static Analysis of Ethereum Smart Contracts.,2018,CAV,https://doi.org/10.1007/978-3-319-96145-3_4
Smart Contract Programming Languages on Blockchains: An Empirical Evaluation of Usability and Security.,2018,ICBC,https://doi.org/10.1007/978-3-319-94478-4_6
Empirical Insights in the Current Development of Smart Contracts.,2018,PACIS,https://aisel.aisnet.org/pacis2018/146
Empirical Vulnerability Analysis of Automated Smart Contracts Security Testing on Blockchains.,2018,CoRR,http://arxiv.org/abs/1809.02702
Towards Safer Smart Contracts: A Survey of Languages and Verification Methods.,2018,CoRR,http://arxiv.org/abs/1809.09805
"An Empirical Analysis of Smart Contracts: Platforms, Applications, and Design Patterns.",2017,Financial Cryptography Workshops,https://doi.org/10.1007/978-3-319-70278-0_31
Secured transactions technique based on smart contracts for situational awareness tools.,2017,ICITST,https://doi.org/10.23919/ICITST.2017.8356352
A Survey of Attacks on Ethereum Smart Contracts (SoK).,2017,POST,https://doi.org/10.1007/978-3-662-54455-6_8
"An empirical analysis of smart contracts: platforms, applications, and design patterns.",2017,CoRR,http://arxiv.org/abs/1703.06322
A survey of attacks on Ethereum smart contracts.,2016,IACR Cryptol. ePrint Arch.,http://eprint.iacr.org/2016/1007
